pdf_page,figure_no,species_common,height_b1,height_b2,height_b3,height_b4,height_b5,si_b1,si_b2,si_b3,si_b4,si_b5,parse_status,source,years_to_bh
114,92,Longleaf pine,1.421,0.9947,-0.0269,1.1344,-0.0109,0.6333,1.031,-0.0278,-1.6207,-0.0878,ok,"Figure 92. - Longleaf pine (USDA 1929) Southern States 244 plots, number of dominant trees not given Total height and total age, anamorphic, equation not given Convert DBH age to total age by adding years according to site index (BH - 0.0)",
115,93,Longleaf pine,1.1672,1.001,-0.0459,1.346,0.0204,0.7948,1.0171,-0.047,-2.1964,-0.0864,ok,"Figure 93. - Longleaf pine (Schumacher and Coile 1960) Atlantic Coastal Plain 368 plots having 8 dominant and codominant trees on each plot Total height and total age, anamorphic, logarithm equation Convert DBH age to total age by adding years according to site index (BH - 0.0)",
116,94,Longleaf pine,1.3196,1,-0.0356,1.4271,0.000017,0.6398,1.0401,-0.0345,-2.697,-0.1749,ok,"Figure 94. - Longleaf pine (Farrar 1981) Coastal plain of Northwest Florida, Southwest Georgia, South and Central Alabama, and South Mississippi 182 permanent growth study plots on naturally regenerated lands, remeasurements of total height and age from dominant and codominant trees Weighted multiple linear regression, anamorphic Convert DBH age to total age by adding years according to site index (BH 0.0)",
117,95,Red pine,1.89,1,-0.0198,1.3892,0,0.5291,1,-0.0198,-1.3892,0,ok,"Figure 95. - Red pine (Gevorkiantz 1957c, derived from Eyre and Zehngraff 1948, and Brown and Gevorkiantz 1934) Minnesota Number of plots and number of dominant and codominant trees not given Total height and total age, anamorphic, equation not given Convert DBH age to total age by adding years according to site index (BH 0.0)",
118,96,Red pine plantations,19.0635,0.5885,-0.0111,3.3922,-0.3418,0.0199,1.0192,-0.0081,-0.773,0.0424,ok,"Figure 96. - Red pine plantations (Richards, Morrow, and Stone 1962) New York 96 plots having 6 to IO dominant and codominant trees on each plot Total height and breast height age, polymorphic, independent curves plotted for each site class Site index is height at 20 years breast height age (BH 4.5)",
119,97,Red pine plantations,,,,,,,,,,,too_few:0,"Figure 97. - Red pine plantations (Hannah 1971) Vermont 92 plots having 2 to 4 dominant trees on each pbt Total height and plantation age, anamorphic, logarithm equation Site index is total height at 30 years plantation age Add 7 years to DBH age to obtain plantation age (BH 50 45 Maximum difference 0.4 0.6 H 112 2.0401 0.4935 1.0003 -0.0361 1.7914 -0.0090 0.9966 -0.0353 -1.7278 -0.0051 0.94 0.95 - 0.0)",7
120,98,Red pine plantations,,,,,,,,,,,too_few:0,"Figure 98. - Red pine plantations (Wilde et al. 1965) Wisconsin 69 plantations, number of dominant and codominant trees not given Total height and age from seed, anamorphic, equation not given Add 7 years to DBH age to obtain age from seed (BH 0.0)",7
121,99,Red pine plantations,0.7666,1.0909,-0.0733,3.2335,-0.2947,0.3862,1.1649,-0.0646,-1.0878,-0.0287,ok,"Figure 99. - Red pine plantations (Gilmore 1967) Illinois 60 plantations, number of dominant trees not given Total height and breast height age, anamorphic, logarithm equation Site index is total height at 25 years breast height age (BH 4.5)",
122,100,Red pine plantations,0.9978,-0.0147,1.0937,-0.0035,0.89,0.9965,-0.0143,-1.0491,0.0039,0.92,trimmed:12,"Figure 100. - Red pine plantations (Stiell and Berry 1973b, Berry 1984) Eastern Ontario - Petawawa 31 plantations having 56 permanent growth study plots Periodic height measurements, anamorphic, quadratic equation not given Site index is total height at 50 years since planting Add 5 years to DBH age to obtain years since planting (BH = 0.0)",5
123,101,Red pine plantations,13.6713,0.5404,-0.0283,8.772,-0.5308,0.00098,1.4784,-0.00023,-1.1602,-0.0574,ok,"Figure 101. - Red pine plantations (Thrower 1986b) North central Ontario 25 plots having 3 dominant trees per plot Internode measurements and stem analysis, nonlinear regression. polymorphic Site index is total height at 20 years breast height age (BH 4.5)",
